,artist_name,album_name,release_date,total_tracks
0,The Rolling Stones,Grrr Live!,2023-02-10,24
1,The Rolling Stones,Licked Live In Nyc,2022-06-10,23
2,The Rolling Stones,Live At The El Mocambo,2022-05-13,23
3,The Rolling Stones,Tattoo You (Super Deluxe),2021-10-22,46
4,The Rolling Stones,Tattoo You,2021-10-22,11
5,The Rolling Stones,A Bigger Bang (Live),2021-07-09,22
6,The Rolling Stones,Steel Wheels Live,2020-09-25,27
7,The Rolling Stones,Goats Head Soup (Deluxe),2020-09-04,37
8,The Rolling Stones,Bridges To Buenos Aires (Live),2019-11-08,22
9,The Rolling Stones,Bridges To Bremen (Live),2019-06-21,22
10,The Rolling Stones,Honk (Deluxe),2019-04-19,47
11,The Rolling Stones,Voodoo Lounge Uncut (Live),2018-11-16,28
13,The Rolling Stones,From The Vault: No Security - San Jose 1999 (Live),2018-07-13,20
14,The Rolling Stones,On Air,2017-12-01,18
15,The Rolling Stones,On Air (Deluxe),2017-12-01,32
16,The Rolling Stones,Sticky Fingers Live At The Fonda Theatre,2017-09-29,16
17,The Rolling Stones,Ladies & Gentlemen (Live),2017-06-16,16
18,The Rolling Stones,Blue & Lonesome,2016-12-02,12
19,The Rolling Stones,Havana Moon (Live),2016-11-11,18
0,Elvis Presley,Elvis On Tour,2022-12-02,145
1,Elvis Presley,30,2022-09-06,30
2,Elvis Presley,Our History: 18 Original Tracks,2022-08-08,18
3,Elvis Presley,Songs For Lovers,2022-08-05,15
4,Elvis Presley,ザ・ベスト・オブ・エルヴィス ゴールデン・コレクション,2022-07-16,15
5,Elvis Presley,ザ・ベスト・オブ・エルヴィス プラチナム・コレクション,2022-07-16,15
6,Elvis Presley,Elvis 30 #1 Hits (Expanded Edition),2022-02-18,40
7,Elvis Presley,Elvis Back In Nashville,2021-11-12,82
8,Elvis Presley,Love Songs,2021-10-18,21
9,Elvis Presley,The King Of Rock – G.H.,2021-09-30,14
10,Elvis Presley,ビック・アーティスト・アルバム エルヴィス・プレスリー,2021-02-20,12
11,Elvis Presley,ビック・アーティスト・アルバム エルヴィス・プレスリー Vol.2,2021-02-20,14
12,Elvis Presley,From Elvis In Nashville,2020-11-20,74
13,Elvis Presley,American Sound 1969,2019-08-23,90
14,Elvis Presley,Live 1969,2019-08-09,216
15,Elvis Presley,King Of Rock'N Roll エルヴィスプレスリー 名曲の歴史,2018-12-07,15
16,Elvis Presley,King Of Rock'N Roll エルヴィスプレスリー バラードの調べ,2018-12-06,15
17,Elvis Presley,King Of Rock'N Roll エルヴィスプレスリー 愛を叫ぶ ラブソング,2018-12-06,15
18,Elvis Presley,'68 Comeback Special (50Th Anniversary Edition) [Live],2018-11-30,104
19,Elvis Presley,King Of Rock'N Roll エルヴィスプレスリー ロックの魂,2018-07-17,15
0,Eddie Cochran,Eddie Cochran (Biografie),2022-10-07,21
